"PERIODO","UNIDAD_CLIENTE","SEGMENTO","COD_PRODUCTO","COD_PRODUCTO_PROVEEDOR","DESCRIPCION","MARCA","ESTADO_PROD.","UMB","COD_LOCAL","TIPO","DESCRIPCION_LOCAL","ESTADO_LOCAL","FORMATO","TIPO_VENTA","VTA_PERIODO(u)","VTA_COSTO($)"
2020-12-22 al 2020-12-22,Construmart,LOCAL,202491,SIN CODIGO,ENCHUFE TRIPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM86,LOCAL,CM86 - Linares,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,3278.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45812,SIN CODIGO,INTERRUPTOR 9/12 10A 250V ARMADO BLCO,SIN MARCA,ACTIVO,C/U,CM26,LOCAL,CM26-TEMUCO,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,2232.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168134,SIN CODIGO,INTERRUPTOR 9/24 MINK/TERRA ARMADO,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1895.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202478,SIN CODIGO,INTERRUPTOR ESCALERA 9/24 10A LÚZICA ARM,SIN MARCA,ACTIVO,C/U,CM20,LOCAL,CM20-RANCAGUA,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,2793.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,12536,SIN CODIGO,PLACA ALUM.OXIDAL 1PTO. 503/1P MAGIC,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,4248.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,150080,SIN CODIGO,INTERRUPTOR 9/15 MODUS ARM.BCO. 1200BN,SIN MARCA,ACTIVO,C/U,CM82,LOCAL,CM82 - Camino a Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,4.00,6936.00
2020-12-22 al 2020-12-22,Construmart,CLUB AHORRO,26654,SIN CODIGO,SOPORTE TICINO MAGIC PLASTICO 503/RP,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,4.00,2452.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,178776,SIN CODIGO,"CANALETA ELECTRICA 20 X 12,5 MM 2 M",SIN MARCA,ACTIVO,C/U,CM68,LOCAL,CM68-Errazuriz,ACTIVO,NO CLASIFICADO,NO CALZADA,4.00,2516.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,187046,SIN CODIGO,CAJA CHUQUI LIBRE DE HALOGENOS,SIN MARCA,ACTIVO,C/U,CM87,LOCAL,CM87 - Los Alamos Colina,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,664.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,69607,SIN CODIGO,PORTALAM.C/ BNE.TORNILL C/BLQ. BLANCO,SIN MARCA,ACTIVO,C/U,CM07,LOCAL,CM07-LA SERENA,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,2304.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,18163,SIN CODIGO,CASQUETE+TOMA 10A MODUS CAL1105BN,SIN MARCA,ACTIVO,C/U,CM04,LOCAL,CM04-CALAMA,ACTIVO,NO CLASIFICADO,NO CALZADA,10.00,9915.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202483,SIN CODIGO,ENCHUFE 10/16A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM82,LOCAL,CM82 - Camino a Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1297.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45816,SIN CODIGO,TOMA DOBLE 2P+T 10A 250V ARMADA BLCO,Bticino,ACTIVO,C/U,CM89,LOCAL,CM89 - Departamental,ACTIVO,NO CLASIFICADO,NO CALZADA,5.00,8640.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,19634,SIN CODIGO,"CAJA DERIVACION P/TABIQUE 5/8 503T""",Bticino,ACTIVO,C/U,CM13,LOCAL,CM13-LAS REJAS,ACTIVO,NO CLASIFICADO,NO CALZADA,27.00,7695.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,187038,SIN CODIGO,INT.TERMOMAGNÉTICO UNIP. 16A-6KA BTIDIN,SIN MARCA,ACTIVO,C/U,CM82,LOCAL,CM82 - Camino a Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1735.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,14060,SIN CODIGO,ENCHUFE HBRA. 2P+T10A EMB 5113K MAG/ARM,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,4.00,11488.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,18165,SIN CODIGO,CASQ+INT.9/12+TOMA 10A MODUS CAL1203BN,SIN MARCA,ACTIVO,C/U,CM13,LOCAL,CM13-LAS REJAS,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,4626.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202491,SIN CODIGO,ENCHUFE TRIPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM07,LOCAL,CM07-LA SERENA,ACTIVO,NO CLASIFICADO,NO CALZADA,7.00,11476.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168110,SIN CODIGO,PULSADOR 10A BLANCO/PERLA,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,24.00,35991.00
2020-12-22 al 2020-12-22,Construmart,CLUB AHORRO,45812,SIN CODIGO,INTERRUPTOR 9/12 10A 250V ARMADO BLCO,SIN MARCA,ACTIVO,C/U,CM28,LOCAL,CM28-OSORNO,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,2230.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168136,SIN CODIGO,TOMA MINK/TERRA ARMADO.,SIN MARCA,ACTIVO,C/U,CM13,LOCAL,CM13-LAS REJAS,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1632.00
