"PERIODO","UNIDAD_CLIENTE","SEGMENTO","COD_PRODUCTO","COD_PRODUCTO_PROVEEDOR","DESCRIPCION","MARCA","ESTADO_PROD.","UMB","COD_LOCAL","TIPO","DESCRIPCION_LOCAL","ESTADO_LOCAL","FORMATO","TIPO_VENTA","VTA_PERIODO(u)","VTA_COSTO($)"
2020-12-22 al 2020-12-22,Construmart,LOCAL,45816,SIN CODIGO,TOMA DOBLE 2P+T 10A 250V ARMADA BLCO,Bticino,ACTIVO,C/U,CM69,LOCAL,CM69-Manuel Rodrigez,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1726.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,17649,SIN CODIGO,INT TRIP 3X16A 400V/C6KA     ,SIN MARCA,ACTIVO,C/U,CM07,LOCAL,CM07-LA SERENA,ACTIVO,NO CLASIFICADO,NO CALZADA,-1.00,-17005.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,111435,SIN CODIGO,ALARGADOR 6 TOMAS 2P+T 10A 3M GRIS,SIN MARCA,ACTIVO,C/U,CM82,LOCAL,CM82 - Camino a Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,5046.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45816,SIN CODIGO,TOMA DOBLE 2P+T 10A 250V ARMADA BLCO,Bticino,ACTIVO,C/U,CM74,LOCAL,CM74-Molina,ACTIVO,NO CLASIFICADO,NO CALZADA,7.00,12103.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,111434,SIN CODIGO,ALARGADOR 6 TOMAS 2P+T 10A 3M BLANCO,SIN MARCA,ACTIVO,C/U,CM61,LOCAL,CM61-TALCA,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,3152.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202478,SIN CODIGO,INTERRUPTOR ESCALERA 9/24 10A LÚZICA ARM,SIN MARCA,ACTIVO,C/U,CM74,LOCAL,CM74-Molina,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1008.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,153196,SIN CODIGO,INTERR.9/12 10A 250V BLANCO OVAL,Bticino,ACTIVO,C/U,CM13,LOCAL,CM13-LAS REJAS,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,1812.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45812,SIN CODIGO,INTERRUPTOR 9/12 10A 250V ARMADO BLCO,SIN MARCA,ACTIVO,C/U,CM07,LOCAL,CM07-LA SERENA,ACTIVO,NO CLASIFICADO,NO CALZADA,8.00,8928.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,12788,SIN CODIGO,ENCHUFE HEM 2P+T 10A 5113P MAG/MOD,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,35.00,45710.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168121,SIN CODIGO,PLACA 1 MÓDULO PERLA,SIN MARCA,ACTIVO,C/U,CM12,LOCAL,CM12-El Belloto - Quilpue,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,792.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,150080,SIN CODIGO,INTERRUPTOR 9/15 MODUS ARM.BCO. 1200BN,SIN MARCA,ACTIVO,C/U,CM05,LOCAL,CM05-ANTOFAGASTA,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1734.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45817,SIN CODIGO,TOMA TRIPLE 2P+T 10A 250V ARMADA BLCO,SIN MARCA,ACTIVO,C/U,CM13,LOCAL,CM13-LAS REJAS,ACTIVO,NO CLASIFICADO,NO CALZADA,9.00,21380.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168132,SIN CODIGO,TOMA 10A/16A  BLANCO,SIN MARCA,ACTIVO,C/U,CM87,LOCAL,CM87 - Los Alamos Colina,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,4896.00
2020-12-22 al 2020-12-22,Construmart,CONST.MEDIANA DESARROLLO,202491,SIN CODIGO,ENCHUFE TRIPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM63,LOCAL,CM63-IQUIQUE,ACTIVO,NO CLASIFICADO,NO CALZADA,10.00,16418.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45817,SIN CODIGO,TOMA TRIPLE 2P+T 10A 250V ARMADA BLCO,SIN MARCA,ACTIVO,C/U,CM05,LOCAL,CM05-ANTOFAGASTA,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,4754.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,150080,SIN CODIGO,INTERRUPTOR 9/15 MODUS ARM.BCO. 1200BN,SIN MARCA,ACTIVO,C/U,CM93,LOCAL,CM93 - Tienda Talcahuano Colon,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,3464.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,12684,SIN CODIGO,INTERRUPTOR MAGIC 9/24 5003P MAG/MOD,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,7.00,9185.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45819,SIN CODIGO,INT 9/12+ENCH 10A ARMADO BLCO,SIN MARCA,ACTIVO,C/U,CM89,LOCAL,CM89 - Departamental,ACTIVO,NO CLASIFICADO,NO CALZADA,4.00,7076.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,18162,SIN CODIGO,CASQUETE+PULSAD.MODUS CAL1102BN,SIN MARCA,ACTIVO,C/U,CM26,LOCAL,CM26-TEMUCO,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,2402.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45817,SIN CODIGO,TOMA TRIPLE 2P+T 10A 250V ARMADA BLCO,SIN MARCA,ACTIVO,C/U,CM80,LOCAL,CM80 - Chillan Collín,ACTIVO,NO CLASIFICADO,NO CALZADA,9.00,21384.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202491,SIN CODIGO,ENCHUFE TRIPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM09,LOCAL,CM09 - OVALLE,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,4917.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,178776,SIN CODIGO,"CANALETA ELECTRICA 20 X 12,5 MM 2 M",SIN MARCA,ACTIVO,C/U,CM04,LOCAL,CM04-CALAMA,ACTIVO,NO CLASIFICADO,NO CALZADA,7.00,4515.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,164852,SIN CODIGO,ADAPTADOR BIPASO-SCHUKO BLANCO,SIN MARCA,ACTIVO,C/U,CM20,LOCAL,CM20-RANCAGUA,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,8666.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,14517,SIN CODIGO,"CAJA DERIVACION P/EMBUTIR 5/8"" 503L",Bticino,ACTIVO,C/U,CM87,LOCAL,CM87 - Los Alamos Colina,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,909.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,161383,SIN CODIGO,INTERRUPTOR TRIPLE (9/32)10A 250V BLC,SIN MARCA,ACTIVO,C/U,CM04,LOCAL,CM04-CALAMA,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,2400.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,153459,SIN CODIGO,TOMA 2P+T 10A 250 BLANCO,SIN MARCA,ACTIVO,C/U,CM90,LOCAL,CM90 - Peñaflor,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,1968.00
2020-12-22 al 2020-12-22,Construmart,CLUB AHORRO,12685,SIN CODIGO,PULSADOR TIMBRE MAGIC 5005P,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,2748.00
2020-12-22 al 2020-12-22,Construmart,CLUB AHORRO,17654,SIN CODIGO,INT DIFERENCIAL BIP 30 MA 25A,SIN MARCA,ACTIVO,C/U,CM90,LOCAL,CM90 - Peñaflor,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,24034.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168134,SIN CODIGO,INTERRUPTOR 9/24 MINK/TERRA ARMADO,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1896.00
2020-12-22 al 2020-12-22,Construmart,CLUB AHORRO,69607,SIN CODIGO,PORTALAM.C/ BNE.TORNILL C/BLQ. BLANCO,SIN MARCA,ACTIVO,C/U,CM20,LOCAL,CM20-RANCAGUA,ACTIVO,NO CLASIFICADO,NO CALZADA,5.00,3840.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45812,SIN CODIGO,INTERRUPTOR 9/12 10A 250V ARMADO BLCO,SIN MARCA,ACTIVO,C/U,CM80,LOCAL,CM80 - Chillan Collín,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,3348.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,19637,SIN CODIGO,TRIPLE 2P+T EN LINEA 10AMP 3603GP GRIS,SIN MARCA,ACTIVO,C/U,CM90,LOCAL,CM90 - Peñaflor,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,2465.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,18166,SIN CODIGO,CASQ+TOMA DOBLE 10A MODUS CAL1208BN,SIN MARCA,ACTIVO,C/U,CM26,LOCAL,CM26-TEMUCO,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1621.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202492,SIN CODIGO,ENCHUFE SIMPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,990.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202491,SIN CODIGO,ENCHUFE TRIPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM20,LOCAL,CM20-RANCAGUA,ACTIVO,NO CLASIFICADO,NO CALZADA,8.00,13107.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,51174,SIN CODIGO,PLAFON OVALADO E27 BLANCO,SIN MARCA,ACTIVO,C/U,CM87,LOCAL,CM87 - Los Alamos Colina,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,3009.00
2020-12-22 al 2020-12-22,Construmart,PROFESIONALES,211627,SIN CODIGO,TOMACORRIENTE DOBLE 2P+T 10/16A LÚZICA,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,8.00,17752.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,178783,SIN CODIGO,"CANALETA ELECTRICA 20X12,5 MM 2 M C/ADH",SIN MARCA,ACTIVO,C/U,CM04,LOCAL,CM04-CALAMA,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,3294.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,51174,SIN CODIGO,PLAFON OVALADO E27 BLANCO,SIN MARCA,ACTIVO,C/U,CM90,LOCAL,CM90 - Peñaflor,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,3011.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202478,SIN CODIGO,INTERRUPTOR ESCALERA 9/24 10A LÚZICA ARM,SIN MARCA,ACTIVO,C/U,CM04,LOCAL,CM04-CALAMA,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1012.00
2020-12-22 al 2020-12-22,Construmart,CONTRATISTA PEQUEÃO,168142,SIN CODIGO,INTERRUPTOR 9/32 MINK/TERRA ARMADO,SIN MARCA,ACTIVO,C/U,CM73,LOCAL,CM73-Curico Norte,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,6218.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,111436,SIN CODIGO,ALARGADOR 6 TOMAS 2P+T 10A 5M GRIS,SIN MARCA,ACTIVO,C/U,CM86,LOCAL,CM86 - Linares,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,12651.00
2020-12-22 al 2020-12-22,Construmart,CONTRATISTA PEQUEÃO,202487,SIN CODIGO,INTERRUPTOR 9/12 +ENCH.10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM04,LOCAL,CM04-CALAMA,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1360.00
2020-12-22 al 2020-12-22,Construmart,CONTRATISTA PEQUEÃO,187038,SIN CODIGO,INT.TERMOMAGNÉTICO UNIP. 16A-6KA BTIDIN,SIN MARCA,ACTIVO,C/U,CM15,LOCAL,CM15-LAS CONDES,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,3470.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45817,SIN CODIGO,TOMA TRIPLE 2P+T 10A 250V ARMADA BLCO,SIN MARCA,ACTIVO,C/U,CM90,LOCAL,CM90 - Peñaflor,ACTIVO,NO CLASIFICADO,NO CALZADA,7.00,16632.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,178783,SIN CODIGO,"CANALETA ELECTRICA 20X12,5 MM 2 M C/ADH",SIN MARCA,ACTIVO,C/U,CM90,LOCAL,CM90 - Peñaflor,ACTIVO,NO CLASIFICADO,NO CALZADA,13.00,19305.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168133,SIN CODIGO,INTERRUPTOR 9/12 MINK/TERRA ARMADO,SIN MARCA,ACTIVO,C/U,CM07,LOCAL,CM07-LA SERENA,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1631.00
2020-12-22 al 2020-12-22,Construmart,CLUB AHORRO,161383,SIN CODIGO,INTERRUPTOR TRIPLE (9/32)10A 250V BLC,SIN MARCA,ACTIVO,C/U,CM28,LOCAL,CM28-OSORNO,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1945.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,150080,SIN CODIGO,INTERRUPTOR 9/15 MODUS ARM.BCO. 1200BN,SIN MARCA,ACTIVO,C/U,CM80,LOCAL,CM80 - Chillan Collín,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1734.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,69652,SIN CODIGO,ENCHUFE HEMBRA VOLANTE 2P+T 10A GRIS,SIN MARCA,ACTIVO,C/U,CM07,LOCAL,CM07-LA SERENA,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1954.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,153197,SIN CODIGO,INTERR.9/24 10A 250V BLANCO,SIN MARCA,ACTIVO,C/U,CM90,LOCAL,CM90 - Peñaflor,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1068.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,153463,SIN CODIGO,T.TRIPLE 2P+T 10A 250V BLANCO OVAL,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,14.00,33697.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,12537,SIN CODIGO,PLACA ALUM.OXIDAL 2PTO. 503/2P MAGIC,SIN MARCA,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,6.00,8346.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45813,SIN CODIGO,INTERRUPTOR 9/24 10A 250V ARMADO BLCO,SIN MARCA,ACTIVO,C/U,CM15,LOCAL,CM15-LAS CONDES,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,2608.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168136,SIN CODIGO,TOMA MINK/TERRA ARMADO.,SIN MARCA,ACTIVO,C/U,CM12,LOCAL,CM12-El Belloto - Quilpue,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,3174.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202486,SIN CODIGO,ENCHUFE DOBLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM86,LOCAL,CM86 - Linares,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,2342.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168121,SIN CODIGO,PLACA 1 MÓDULO PERLA,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,1926.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,18160,SIN CODIGO,CASQUETE+INT.9/12 MODUS CAL1100BN,SIN MARCA,ACTIVO,C/U,CM92,LOCAL,CM92-LOS ANGELES ALCAZAR,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,991.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45815,SIN CODIGO,TOMA 2P+T 10/16A BIPASO 250V ARMADA BLCO,SIN MARCA,ACTIVO,C/U,CM93,LOCAL,CM93 - Tienda Talcahuano Colon,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1787.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168113,SIN CODIGO,TOMA TRIPLE 10A BLANCO/PERLA ARMADO,SIN MARCA,ACTIVO,C/U,CM87,LOCAL,CM87 - Los Alamos Colina,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,9720.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202491,SIN CODIGO,ENCHUFE TRIPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM61,LOCAL,CM61-TALCA,ACTIVO,NO CLASIFICADO,NO CALZADA,10.00,16388.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168138,SIN CODIGO,TOMA TRIPLE MINK/TERRA ARMADO,SIN MARCA,ACTIVO,C/U,CM13,LOCAL,CM13-LAS REJAS,ACTIVO,NO CLASIFICADO,NO CALZADA,7.00,23233.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,45843,SIN CODIGO,MOD ENCH 10A MODUS BLCO,SIN MARCA,ACTIVO,C/U,CM93,LOCAL,CM93 - Tienda Talcahuano Colon,ACTIVO,NO CLASIFICADO,NO CALZADA,2.00,1340.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168133,SIN CODIGO,INTERRUPTOR 9/12 MINK/TERRA ARMADO,SIN MARCA,ACTIVO,C/U,CM82,LOCAL,CM82 - Camino a Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,4896.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,18169,SIN CODIGO,CLAVIJA 2P+T 10A BLANCO,SIN MARCA,ACTIVO,C/U,CM86,LOCAL,CM86 - Linares,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,949.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,178783,SIN CODIGO,"CANALETA ELECTRICA 20X12,5 MM 2 M C/ADH",SIN MARCA,ACTIVO,C/U,CM72,LOCAL,CM72 LloLleo,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,2121.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,12684,SIN CODIGO,INTERRUPTOR MAGIC 9/24 5003P MAG/MOD,SIN MARCA,ACTIVO,C/U,CM29,LOCAL,CM29-PUERTO MONTT,ACTIVO,NO CLASIFICADO,NO CALZADA,7.00,7791.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,111435,SIN CODIGO,ALARGADOR 6 TOMAS 2P+T 10A 3M GRIS,SIN MARCA,ACTIVO,C/U,CM92,LOCAL,CM92-LOS ANGELES ALCAZAR,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,4405.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,111435,SIN CODIGO,ALARGADOR 6 TOMAS 2P+T 10A 3M GRIS,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,4.00,17237.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,18162,SIN CODIGO,CASQUETE+PULSAD.MODUS CAL1102BN,SIN MARCA,ACTIVO,C/U,CM78,LOCAL,CM78 -  Arica.,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,1105.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168117,SIN CODIGO,INTERRUP TRIPLE 9/32 10ABCO/PERLA ARMADO,SIN MARCA,ACTIVO,C/U,CM20,LOCAL,CM20-RANCAGUA,ACTIVO,NO CLASIFICADO,NO CALZADA,3.00,8631.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,202492,SIN CODIGO,ENCHUFE SIMPLE 10A LÚZICA ARMADO,SIN MARCA,ACTIVO,C/U,CM89,LOCAL,CM89 - Departamental,ACTIVO,NO CLASIFICADO,NO CALZADA,1.00,931.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,14517,SIN CODIGO,"CAJA DERIVACION P/EMBUTIR 5/8"" 503L",Bticino,ACTIVO,C/U,CM71,LOCAL,CM71 - Melipilla,ACTIVO,NO CLASIFICADO,NO CALZADA,10.00,3030.00
2020-12-22 al 2020-12-22,Construmart,LOCAL,168146,SIN CODIGO,PLACA 1 MÓDULO TERRA,SIN MARCA,ACTIVO,C/U,CM61,LOCAL,CM61-TALCA,ACTIVO,NO CLASIFICADO,NO CALZADA,5.00,3505.00
